Algorithm	File	Fitness	Time(ms)
AGG-uniforme	GKD-b_1_n25_m2	0	86
AGG-uniforme	GKD-b_2_n25_m2	0	82
AGG-uniforme	GKD-b_3_n25_m2	0	97
AGG-uniforme	GKD-b_4_n25_m2	0	102
AGG-uniforme	GKD-b_5_n25_m2	0	93
AGG-uniforme	GKD-b_6_n25_m7	44.3731	162
AGG-uniforme	GKD-b_7_n25_m7	42.5119	153
AGG-uniforme	GKD-b_8_n25_m7	33.4394	149
AGG-uniforme	GKD-b_9_n25_m7	30.8507	113
AGG-uniforme	GKD-b_10_n25_m7	32.5833	111
AGG-uniforme	GKD-b_11_n50_m5	12.7355	125
AGG-uniforme	GKD-b_12_n50_m5	17.0583	120
AGG-uniforme	GKD-b_13_n50_m5	20.5864	124
AGG-uniforme	GKD-b_14_n50_m5	19.3105	121
AGG-uniforme	GKD-b_15_n50_m5	16.6626	119
AGG-uniforme	GKD-b_16_n50_m15	87.6535	197
AGG-uniforme	GKD-b_17_n50_m15	86.2865	201
AGG-uniforme	GKD-b_18_n50_m15	85.4136	196
AGG-uniforme	GKD-b_19_n50_m15	79.6698	202
AGG-uniforme	GKD-b_20_n50_m15	92.9027	269
AGG-uniforme	GKD-b_21_n100_m10	58.6094	236
AGG-uniforme	GKD-b_22_n100_m10	38.522	243
AGG-uniforme	GKD-b_23_n100_m10	45.1733	310
AGG-uniforme	GKD-b_24_n100_m10	50.0462	261
AGG-uniforme	GKD-b_25_n100_m10	44.9816	277
AGG-uniforme	GKD-b_26_n100_m30	248.484	610
AGG-uniforme	GKD-b_27_n100_m30	179.618	679
AGG-uniforme	GKD-b_28_n100_m30	195.959	675
AGG-uniforme	GKD-b_29_n100_m30	316.765	528
AGG-uniforme	GKD-b_30_n100_m30	190.094	582
AGG-uniforme	GKD-b_31_n125_m12	59.7585	430
AGG-uniforme	GKD-b_32_n125_m12	57.8037	311
AGG-uniforme	GKD-b_33_n125_m12	56.9648	374
AGG-uniforme	GKD-b_34_n125_m12	45.2367	415
AGG-uniforme	GKD-b_35_n125_m12	54.1975	396
AGG-uniforme	GKD-b_36_n125_m37	234.056	929
AGG-uniforme	GKD-b_37_n125_m37	355.369	871
AGG-uniforme	GKD-b_38_n125_m37	284.08	760
AGG-uniforme	GKD-b_39_n125_m37	256.791	931
AGG-uniforme	GKD-b_40_n125_m37	296.859	919
AGG-uniforme	GKD-b_41_n150_m15	72.6558	393
AGG-uniforme	GKD-b_42_n150_m15	72.2765	447
AGG-uniforme	GKD-b_43_n150_m15	74.0104	431
AGG-uniforme	GKD-b_44_n150_m15	80.9392	539
AGG-uniforme	GKD-b_45_n150_m15	86.14	480
AGG-uniforme	GKD-b_46_n150_m45	339.643	1127
AGG-uniforme	GKD-b_47_n150_m45	334.17	1105
AGG-uniforme	GKD-b_48_n150_m45	334.264	1077
AGG-uniforme	GKD-b_49_n150_m45	374.797	1067
AGG-uniforme	GKD-b_50_n150_m45	378.019	1065
AGG-posicion	GKD-b_1_n25_m2	0	47
AGG-posicion	GKD-b_2_n25_m2	0	46
AGG-posicion	GKD-b_3_n25_m2	0	47
AGG-posicion	GKD-b_4_n25_m2	0	46
AGG-posicion	GKD-b_5_n25_m2	0	47
AGG-posicion	GKD-b_6_n25_m7	35.3717	53
AGG-posicion	GKD-b_7_n25_m7	32.7282	54
AGG-posicion	GKD-b_8_n25_m7	41.1862	53
AGG-posicion	GKD-b_9_n25_m7	34.2125	55
AGG-posicion	GKD-b_10_n25_m7	34.3642	63
AGG-posicion	GKD-b_11_n50_m5	17.5839	76
AGG-posicion	GKD-b_12_n50_m5	17.4143	78
AGG-posicion	GKD-b_13_n50_m5	22.4077	75
AGG-posicion	GKD-b_14_n50_m5	18.0708	92
AGG-posicion	GKD-b_15_n50_m5	19.6408	74
AGG-posicion	GKD-b_16_n50_m15	146.315	85
AGG-posicion	GKD-b_17_n50_m15	127.875	93
AGG-posicion	GKD-b_18_n50_m15	120.502	104
AGG-posicion	GKD-b_19_n50_m15	129.957	104
AGG-posicion	GKD-b_20_n50_m15	118.198	101
AGG-posicion	GKD-b_21_n100_m10	53.4721	104
AGG-posicion	GKD-b_22_n100_m10	54.4076	106
AGG-posicion	GKD-b_23_n100_m10	43.6255	106
AGG-posicion	GKD-b_24_n100_m10	49.782	105
AGG-posicion	GKD-b_25_n100_m10	47.9833	105
AGG-posicion	GKD-b_26_n100_m30	419.862	185
AGG-posicion	GKD-b_27_n100_m30	340.704	169
AGG-posicion	GKD-b_28_n100_m30	391.76	136
AGG-posicion	GKD-b_29_n100_m30	371.544	151
AGG-posicion	GKD-b_30_n100_m30	342.081	157
AGG-posicion	GKD-b_31_n125_m12	94.2651	105
AGG-posicion	GKD-b_32_n125_m12	66.4705	160
AGG-posicion	GKD-b_33_n125_m12	72.283	135
AGG-posicion	GKD-b_34_n125_m12	73.503	89
AGG-posicion	GKD-b_35_n125_m12	79.0238	87
AGG-posicion	GKD-b_36_n125_m37	395.864	176
AGG-posicion	GKD-b_37_n125_m37	520.082	177
AGG-posicion	GKD-b_38_n125_m37	587.25	238
AGG-posicion	GKD-b_39_n125_m37	476.378	230
AGG-posicion	GKD-b_40_n125_m37	494.925	180
AGG-posicion	GKD-b_41_n150_m15	86.2191	96
AGG-posicion	GKD-b_42_n150_m15	100.65	96
AGG-posicion	GKD-b_43_n150_m15	91.5246	102
AGG-posicion	GKD-b_44_n150_m15	77.552	113
AGG-posicion	GKD-b_45_n150_m15	77.4874	102
AGG-posicion	GKD-b_46_n150_m45	718.506	242
AGG-posicion	GKD-b_47_n150_m45	573.142	253
AGG-posicion	GKD-b_48_n150_m45	604.485	226
AGG-posicion	GKD-b_49_n150_m45	644.317	241
AGG-posicion	GKD-b_50_n150_m45	717.942	227
AGE-uniforme	GKD-b_1_n25_m2	0	231
AGE-uniforme	GKD-b_2_n25_m2	0	230
AGE-uniforme	GKD-b_3_n25_m2	0	231
AGE-uniforme	GKD-b_4_n25_m2	0	229
AGE-uniforme	GKD-b_5_n25_m2	0	229
AGE-uniforme	GKD-b_6_n25_m7	30.4402	198
AGE-uniforme	GKD-b_7_n25_m7	28.766	197
AGE-uniforme	GKD-b_8_n25_m7	35.4466	197
AGE-uniforme	GKD-b_9_n25_m7	28.5392	200
AGE-uniforme	GKD-b_10_n25_m7	36.1761	198
AGE-uniforme	GKD-b_11_n50_m5	12.1905	208
AGE-uniforme	GKD-b_12_n50_m5	14.2162	206
AGE-uniforme	GKD-b_13_n50_m5	15.9052	214
AGE-uniforme	GKD-b_14_n50_m5	17.5747	213
AGE-uniforme	GKD-b_15_n50_m5	11.7427	209
AGE-uniforme	GKD-b_16_n50_m15	97.7173	393
AGE-uniforme	GKD-b_17_n50_m15	84.1268	402
AGE-uniforme	GKD-b_18_n50_m15	93.5126	352
AGE-uniforme	GKD-b_19_n50_m15	88.6384	337
AGE-uniforme	GKD-b_20_n50_m15	92.4673	321
AGE-uniforme	GKD-b_21_n100_m10	43.0561	401
AGE-uniforme	GKD-b_22_n100_m10	45.2921	382
AGE-uniforme	GKD-b_23_n100_m10	42.363	344
AGE-uniforme	GKD-b_24_n100_m10	48.9915	386
AGE-uniforme	GKD-b_25_n100_m10	46.3201	353
AGE-uniforme	GKD-b_26_n100_m30	266.422	651
AGE-uniforme	GKD-b_27_n100_m30	183.003	777
AGE-uniforme	GKD-b_28_n100_m30	203.981	773
AGE-uniforme	GKD-b_29_n100_m30	231.684	611
AGE-uniforme	GKD-b_30_n100_m30	217.159	612
AGE-uniforme	GKD-b_31_n125_m12	44.563	375
AGE-uniforme	GKD-b_32_n125_m12	61.1654	380
AGE-uniforme	GKD-b_33_n125_m12	52.0401	382
AGE-uniforme	GKD-b_34_n125_m12	56.5046	373
AGE-uniforme	GKD-b_35_n125_m12	50.0963	379
AGE-uniforme	GKD-b_36_n125_m37	249.732	840
AGE-uniforme	GKD-b_37_n125_m37	303.232	934
AGE-uniforme	GKD-b_38_n125_m37	309.971	1044
AGE-uniforme	GKD-b_39_n125_m37	265.629	941
AGE-uniforme	GKD-b_40_n125_m37	314.171	973
AGE-uniforme	GKD-b_41_n150_m15	74.2384	542
AGE-uniforme	GKD-b_42_n150_m15	77.5384	671
AGE-uniforme	GKD-b_43_n150_m15	67.2599	639
AGE-uniforme	GKD-b_44_n150_m15	65.3304	500
AGE-uniforme	GKD-b_45_n150_m15	73.8938	489
AGE-uniforme	GKD-b_46_n150_m45	379.857	1155
AGE-uniforme	GKD-b_47_n150_m45	327	1176
AGE-uniforme	GKD-b_48_n150_m45	374.891	1195
AGE-uniforme	GKD-b_49_n150_m45	393.86	1416
AGE-uniforme	GKD-b_50_n150_m45	329.832	1445
AGE-posicion	GKD-b_1_n25_m2	0	153
AGE-posicion	GKD-b_2_n25_m2	0	167
AGE-posicion	GKD-b_3_n25_m2	0	164
AGE-posicion	GKD-b_4_n25_m2	0	179
AGE-posicion	GKD-b_5_n25_m2	0	157
AGE-posicion	GKD-b_6_n25_m7	31.3642	148
AGE-posicion	GKD-b_7_n25_m7	29.7876	172
AGE-posicion	GKD-b_8_n25_m7	35.1671	202
AGE-posicion	GKD-b_9_n25_m7	36.8165	152
AGE-posicion	GKD-b_10_n25_m7	45.7863	145
AGE-posicion	GKD-b_11_n50_m5	14.2967	147
AGE-posicion	GKD-b_12_n50_m5	13.777	148
AGE-posicion	GKD-b_13_n50_m5	16.4239	145
AGE-posicion	GKD-b_14_n50_m5	19.8823	146
AGE-posicion	GKD-b_15_n50_m5	13.0223	146
AGE-posicion	GKD-b_16_n50_m15	113.863	157
AGE-posicion	GKD-b_17_n50_m15	124.454	165
AGE-posicion	GKD-b_18_n50_m15	106.352	158
AGE-posicion	GKD-b_19_n50_m15	123.007	162
AGE-posicion	GKD-b_20_n50_m15	103.722	187
AGE-posicion	GKD-b_21_n100_m10	50.7838	216
AGE-posicion	GKD-b_22_n100_m10	46.5778	183
AGE-posicion	GKD-b_23_n100_m10	51.8051	168
AGE-posicion	GKD-b_24_n100_m10	46.001	166
AGE-posicion	GKD-b_25_n100_m10	56.1641	166
AGE-posicion	GKD-b_26_n100_m30	419.186	229
AGE-posicion	GKD-b_27_n100_m30	384.287	225
AGE-posicion	GKD-b_28_n100_m30	324.227	223
AGE-posicion	GKD-b_29_n100_m30	362.563	230
AGE-posicion	GKD-b_30_n100_m30	334.464	219
AGE-posicion	GKD-b_31_n125_m12	59.6527	175
AGE-posicion	GKD-b_32_n125_m12	56.462	172
AGE-posicion	GKD-b_33_n125_m12	73.6683	174
AGE-posicion	GKD-b_34_n125_m12	63.8646	171
AGE-posicion	GKD-b_35_n125_m12	85.5248	173
AGE-posicion	GKD-b_36_n125_m37	407.338	259
AGE-posicion	GKD-b_37_n125_m37	510.725	300
AGE-posicion	GKD-b_38_n125_m37	525.125	328
AGE-posicion	GKD-b_39_n125_m37	438.433	329
AGE-posicion	GKD-b_40_n125_m37	512.706	315
AGE-posicion	GKD-b_41_n150_m15	71.631	243
AGE-posicion	GKD-b_42_n150_m15	105.855	198
AGE-posicion	GKD-b_43_n150_m15	103.009	193
AGE-posicion	GKD-b_44_n150_m15	71.1392	203
AGE-posicion	GKD-b_45_n150_m15	109.962	197
AGE-posicion	GKD-b_46_n150_m45	712.5	326
AGE-posicion	GKD-b_47_n150_m45	624.955	343
AGE-posicion	GKD-b_48_n150_m45	560.679	445
AGE-posicion	GKD-b_49_n150_m45	680.78	467
AGE-posicion	GKD-b_50_n150_m45	763.278	447
AM-(10,1.0)	GKD-b_1_n25_m2	0	134
AM-(10,1.0)	GKD-b_2_n25_m2	0	136
AM-(10,1.0)	GKD-b_3_n25_m2	0	134
AM-(10,1.0)	GKD-b_4_n25_m2	0	140
AM-(10,1.0)	GKD-b_5_n25_m2	0	125
AM-(10,1.0)	GKD-b_6_n25_m7	14.9192	222
