Algorithm	File	Fitness	Time(ms)
AGG-uniforme	GKD-b_1_n25_m2	0	93
AGG-uniforme	GKD-b_2_n25_m2	0	85
AGG-uniforme	GKD-b_3_n25_m2	0	82
AGG-uniforme	GKD-b_4_n25_m2	0	83
AGG-uniforme	GKD-b_5_n25_m2	0	85
AGG-uniforme	GKD-b_6_n25_m7	44.3731	108
AGG-uniforme	GKD-b_7_n25_m7	42.5119	111
AGG-uniforme	GKD-b_8_n25_m7	33.4394	112
AGG-uniforme	GKD-b_9_n25_m7	30.8507	110
AGG-uniforme	GKD-b_10_n25_m7	32.5833	110
AGG-uniforme	GKD-b_11_n50_m5	12.7355	124
AGG-uniforme	GKD-b_12_n50_m5	17.0583	123
AGG-uniforme	GKD-b_13_n50_m5	20.5864	122
AGG-uniforme	GKD-b_14_n50_m5	19.3105	125
AGG-uniforme	GKD-b_15_n50_m5	16.6626	122
AGG-uniforme	GKD-b_16_n50_m15	87.6535	215
AGG-uniforme	GKD-b_17_n50_m15	86.2865	205
AGG-uniforme	GKD-b_18_n50_m15	85.4136	196
AGG-uniforme	GKD-b_19_n50_m15	79.6698	201
AGG-uniforme	GKD-b_20_n50_m15	92.9027	200
AGG-uniforme	GKD-b_21_n100_m10	58.6094	226
AGG-uniforme	GKD-b_22_n100_m10	38.522	231
AGG-uniforme	GKD-b_23_n100_m10	45.1733	231
AGG-uniforme	GKD-b_24_n100_m10	50.0462	229
AGG-uniforme	GKD-b_25_n100_m10	44.9816	229
AGG-uniforme	GKD-b_26_n100_m30	248.484	513
AGG-uniforme	GKD-b_27_n100_m30	179.618	510
AGG-uniforme	GKD-b_28_n100_m30	195.959	526
AGG-uniforme	GKD-b_29_n100_m30	316.765	529
AGG-uniforme	GKD-b_30_n100_m30	190.094	572
AGG-uniforme	GKD-b_31_n125_m12	59.7585	353
AGG-uniforme	GKD-b_32_n125_m12	57.8037	451
AGG-uniforme	GKD-b_33_n125_m12	56.9648	458
AGG-uniforme	GKD-b_34_n125_m12	45.2367	502
AGG-uniforme	GKD-b_35_n125_m12	54.1975	608
AGG-uniforme	GKD-b_36_n125_m37	234.056	1659
AGG-uniforme	GKD-b_37_n125_m37	355.369	1318
AGG-uniforme	GKD-b_38_n125_m37	284.08	916
AGG-uniforme	GKD-b_39_n125_m37	256.791	772
AGG-uniforme	GKD-b_40_n125_m37	296.859	778
AGG-uniforme	GKD-b_41_n150_m15	72.6558	482
AGG-uniforme	GKD-b_42_n150_m15	72.2765	450
AGG-uniforme	GKD-b_43_n150_m15	74.0104	460
AGG-uniforme	GKD-b_44_n150_m15	80.9392	494
AGG-uniforme	GKD-b_45_n150_m15	86.14	476
AGG-uniforme	GKD-b_46_n150_m45	339.643	1318
AGG-uniforme	GKD-b_47_n150_m45	334.17	1243
AGG-uniforme	GKD-b_48_n150_m45	334.264	1162
AGG-uniforme	GKD-b_49_n150_m45	374.797	1219
AGG-uniforme	GKD-b_50_n150_m45	378.019	1297
AGG-posicion	GKD-b_1_n25_m2	0	52
AGG-posicion	GKD-b_2_n25_m2	0	52
AGG-posicion	GKD-b_3_n25_m2	0	52
AGG-posicion	GKD-b_4_n25_m2	0	52
AGG-posicion	GKD-b_5_n25_m2	0	56
AGG-posicion	GKD-b_6_n25_m7	35.3717	57
AGG-posicion	GKD-b_7_n25_m7	32.7282	61
AGG-posicion	GKD-b_8_n25_m7	41.1862	58
AGG-posicion	GKD-b_9_n25_m7	34.2125	54
AGG-posicion	GKD-b_10_n25_m7	34.3642	58
AGG-posicion	GKD-b_11_n50_m5	17.5839	61
AGG-posicion	GKD-b_12_n50_m5	17.4143	63
AGG-posicion	GKD-b_13_n50_m5	22.4077	65
AGG-posicion	GKD-b_14_n50_m5	18.0708	57
AGG-posicion	GKD-b_15_n50_m5	19.6408	59
AGG-posicion	GKD-b_16_n50_m15	146.315	80
AGG-posicion	GKD-b_17_n50_m15	127.875	79
AGG-posicion	GKD-b_18_n50_m15	120.502	76
AGG-posicion	GKD-b_19_n50_m15	129.957	76
AGG-posicion	GKD-b_20_n50_m15	118.198	76
AGG-posicion	GKD-b_21_n100_m10	53.4721	84
AGG-posicion	GKD-b_22_n100_m10	54.4076	85
AGG-posicion	GKD-b_23_n100_m10	43.6255	79
AGG-posicion	GKD-b_24_n100_m10	49.782	77
