Algorithm	File	Fitness	Time(ms)
AGG-uniforme	GKD-b_1_n25_m2	0,0000	113
AGG-uniforme	GKD-b_2_n25_m2	0,0000	117
AGG-uniforme	GKD-b_3_n25_m2	0,0000	116
AGG-uniforme	GKD-b_4_n25_m2	0,0000	85
AGG-uniforme	GKD-b_5_n25_m2	0,0000	84
AGG-uniforme	GKD-b_6_n25_m7	44,3731	108
AGG-uniforme	GKD-b_7_n25_m7	42,5119	107
AGG-uniforme	GKD-b_8_n25_m7	33,4394	105
AGG-uniforme	GKD-b_9_n25_m7	30,8507	107
AGG-uniforme	GKD-b_10_n25_m7	32,5833	109
AGG-uniforme	GKD-b_11_n50_m5	12,7355	125
AGG-uniforme	GKD-b_12_n50_m5	17,0583	123
AGG-uniforme	GKD-b_13_n50_m5	20,5864	125
AGG-uniforme	GKD-b_14_n50_m5	19,3105	127
AGG-uniforme	GKD-b_15_n50_m5	16,6626	122
AGG-uniforme	GKD-b_16_n50_m15	87,6535	204
AGG-uniforme	GKD-b_17_n50_m15	86,2865	206
AGG-uniforme	GKD-b_18_n50_m15	85,4136	201
AGG-uniforme	GKD-b_19_n50_m15	79,6698	204
AGG-uniforme	GKD-b_20_n50_m15	92,9027	206
AGG-uniforme	GKD-b_21_n100_m10	58,6094	233
AGG-uniforme	GKD-b_22_n100_m10	38,5220	248
AGG-uniforme	GKD-b_23_n100_m10	45,1733	238
AGG-uniforme	GKD-b_24_n100_m10	50,0462	237
AGG-uniforme	GKD-b_25_n100_m10	44,9816	236
AGG-uniforme	GKD-b_26_n100_m30	248,4843	549
AGG-uniforme	GKD-b_27_n100_m30	179,6182	692
AGG-uniforme	GKD-b_28_n100_m30	195,9594	656
AGG-uniforme	GKD-b_29_n100_m30	316,7654	568
AGG-uniforme	GKD-b_30_n100_m30	190,0941	569
AGG-uniforme	GKD-b_31_n125_m12	59,7585	313
AGG-uniforme	GKD-b_32_n125_m12	57,8037	311
AGG-uniforme	GKD-b_33_n125_m12	56,9648	304
AGG-uniforme	GKD-b_34_n125_m12	45,2367	308
AGG-uniforme	GKD-b_35_n125_m12	54,1975	310
AGG-uniforme	GKD-b_36_n125_m37	234,0564	816
AGG-uniforme	GKD-b_37_n125_m37	355,3688	808
AGG-uniforme	GKD-b_38_n125_m37	284,0798	807
AGG-uniforme	GKD-b_39_n125_m37	256,7910	814
AGG-uniforme	GKD-b_40_n125_m37	296,8587	803
AGG-uniforme	GKD-b_41_n150_m15	72,6558	415
AGG-uniforme	GKD-b_42_n150_m15	72,2765	412
AGG-uniforme	GKD-b_43_n150_m15	74,0104	410
AGG-uniforme	GKD-b_44_n150_m15	80,9392	406
AGG-uniforme	GKD-b_45_n150_m15	86,1400	413
AGG-uniforme	GKD-b_46_n150_m45	339,6432	1153
AGG-uniforme	GKD-b_47_n150_m45	334,1697	1138
AGG-uniforme	GKD-b_48_n150_m45	334,2643	1127
AGG-uniforme	GKD-b_49_n150_m45	374,7969	1125
AGG-uniforme	GKD-b_50_n150_m45	378,0190	1116
AGG-posicion	GKD-b_1_n25_m2	0,0000	49
AGG-posicion	GKD-b_2_n25_m2	0,0000	49
AGG-posicion	GKD-b_3_n25_m2	0,0000	49
AGG-posicion	GKD-b_4_n25_m2	0,0000	48
AGG-posicion	GKD-b_5_n25_m2	0,0000	48
AGG-posicion	GKD-b_6_n25_m7	35,3717	55
AGG-posicion	GKD-b_7_n25_m7	32,7282	55
AGG-posicion	GKD-b_8_n25_m7	41,1862	54
AGG-posicion	GKD-b_9_n25_m7	34,2125	56
AGG-posicion	GKD-b_10_n25_m7	34,3642	55
AGG-posicion	GKD-b_11_n50_m5	17,5839	59
AGG-posicion	GKD-b_12_n50_m5	17,4143	59
AGG-posicion	GKD-b_13_n50_m5	22,4077	70
AGG-posicion	GKD-b_14_n50_m5	18,0708	86
AGG-posicion	GKD-b_15_n50_m5	19,6408	89
AGG-posicion	GKD-b_16_n50_m15	146,3153	120
AGG-posicion	GKD-b_17_n50_m15	127,8747	100
AGG-posicion	GKD-b_18_n50_m15	120,5016	79
AGG-posicion	GKD-b_19_n50_m15	129,9574	92
AGG-posicion	GKD-b_20_n50_m15	118,1978	113
AGG-posicion	GKD-b_21_n100_m10	53,4721	82
AGG-posicion	GKD-b_22_n100_m10	54,4076	82
AGG-posicion	GKD-b_23_n100_m10	43,6255	81
AGG-posicion	GKD-b_24_n100_m10	49,7820	80
AGG-posicion	GKD-b_25_n100_m10	47,9833	81
AGG-posicion	GKD-b_26_n100_m30	419,8617	137
AGG-posicion	GKD-b_27_n100_m30	340,7038	133
AGG-posicion	GKD-b_28_n100_m30	391,7603	138
AGG-posicion	GKD-b_29_n100_m30	371,5443	140
AGG-posicion	GKD-b_30_n100_m30	342,0809	135
AGG-posicion	GKD-b_31_n125_m12	94,2651	89
AGG-posicion	GKD-b_32_n125_m12	66,4705	89
AGG-posicion	GKD-b_33_n125_m12	72,2830	90
AGG-posicion	GKD-b_34_n125_m12	73,5030	90
AGG-posicion	GKD-b_35_n125_m12	79,0238	90
AGG-posicion	GKD-b_36_n125_m37	395,8637	180
AGG-posicion	GKD-b_37_n125_m37	520,0824	179
AGG-posicion	GKD-b_38_n125_m37	587,2505	177
AGG-posicion	GKD-b_39_n125_m37	476,3777	177
AGG-posicion	GKD-b_40_n125_m37	494,9254	176
AGG-posicion	GKD-b_41_n150_m15	86,2191	102
AGG-posicion	GKD-b_42_n150_m15	100,6499	101
AGG-posicion	GKD-b_43_n150_m15	91,5246	102
AGG-posicion	GKD-b_44_n150_m15	77,5520	102
AGG-posicion	GKD-b_45_n150_m15	77,4874	138
AGG-posicion	GKD-b_46_n150_m45	718,5065	262
AGG-posicion	GKD-b_47_n150_m45	573,1417	232
AGG-posicion	GKD-b_48_n150_m45	604,4852	227
AGG-posicion	GKD-b_49_n150_m45	644,3173	235
AGG-posicion	GKD-b_50_n150_m45	717,9417	231
AGE-uniforme	GKD-b_1_n25_m2	0,0000	242
AGE-uniforme	GKD-b_2_n25_m2	0,0000	245
AGE-uniforme	GKD-b_3_n25_m2	0,0000	243
AGE-uniforme	GKD-b_4_n25_m2	0,0000	242
AGE-uniforme	GKD-b_5_n25_m2	0,0000	249
AGE-uniforme	GKD-b_6_n25_m7	30,4402	205
AGE-uniforme	GKD-b_7_n25_m7	28,7660	202
AGE-uniforme	GKD-b_8_n25_m7	35,4466	197
AGE-uniforme	GKD-b_9_n25_m7	28,5392	195
AGE-uniforme	GKD-b_10_n25_m7	36,1761	196
AGE-uniforme	GKD-b_11_n50_m5	12,1905	207
AGE-uniforme	GKD-b_12_n50_m5	14,2162	207
AGE-uniforme	GKD-b_13_n50_m5	15,9052	206
AGE-uniforme	GKD-b_14_n50_m5	17,5747	226
AGE-uniforme	GKD-b_15_n50_m5	11,7427	210
AGE-uniforme	GKD-b_16_n50_m15	97,7173	283
AGE-uniforme	GKD-b_17_n50_m15	84,1268	285
AGE-uniforme	GKD-b_18_n50_m15	93,5126	293
AGE-uniforme	GKD-b_19_n50_m15	88,6384	288
AGE-uniforme	GKD-b_20_n50_m15	92,4673	291
AGE-uniforme	GKD-b_21_n100_m10	43,0561	325
AGE-uniforme	GKD-b_22_n100_m10	45,2921	325
AGE-uniforme	GKD-b_23_n100_m10	42,3630	324
AGE-uniforme	GKD-b_24_n100_m10	48,9915	326
AGE-uniforme	GKD-b_25_n100_m10	46,3201	322
AGE-uniforme	GKD-b_26_n100_m30	266,4221	653
AGE-uniforme	GKD-b_27_n100_m30	183,0032	818
AGE-uniforme	GKD-b_28_n100_m30	203,9812	645
AGE-uniforme	GKD-b_29_n100_m30	231,6845	690
AGE-uniforme	GKD-b_30_n100_m30	217,1593	669
AGE-uniforme	GKD-b_31_n125_m12	44,5630	395
AGE-uniforme	GKD-b_32_n125_m12	61,1654	401
AGE-uniforme	GKD-b_33_n125_m12	52,0401	402
AGE-uniforme	GKD-b_34_n125_m12	56,5046	396
AGE-uniforme	GKD-b_35_n125_m12	50,0963	391
AGE-uniforme	GKD-b_36_n125_m37	249,7316	879
AGE-uniforme	GKD-b_37_n125_m37	303,2322	897
AGE-uniforme	GKD-b_38_n125_m37	309,9710	879
AGE-uniforme	GKD-b_39_n125_m37	265,6286	877
AGE-uniforme	GKD-b_40_n125_m37	314,1712	880
AGE-uniforme	GKD-b_41_n150_m15	74,2384	530
AGE-uniforme	GKD-b_42_n150_m15	77,5384	503
AGE-uniforme	GKD-b_43_n150_m15	67,2599	506
AGE-uniforme	GKD-b_44_n150_m15	65,3304	497
AGE-uniforme	GKD-b_45_n150_m15	73,8938	506
AGE-uniforme	GKD-b_46_n150_m45	379,8574	1232
AGE-uniforme	GKD-b_47_n150_m45	327,0000	1246
AGE-uniforme	GKD-b_48_n150_m45	374,8905	1233
AGE-uniforme	GKD-b_49_n150_m45	393,8603	1229
AGE-uniforme	GKD-b_50_n150_m45	329,8321	1208
AGE-posicion	GKD-b_1_n25_m2	0,0000	156
AGE-posicion	GKD-b_2_n25_m2	0,0000	156
AGE-posicion	GKD-b_3_n25_m2	0,0000	158
AGE-posicion	GKD-b_4_n25_m2	0,0000	164
AGE-posicion	GKD-b_5_n25_m2	0,0000	160
AGE-posicion	GKD-b_6_n25_m7	31,3642	146
AGE-posicion	GKD-b_7_n25_m7	29,7876	145
AGE-posicion	GKD-b_8_n25_m7	35,1671	147
AGE-posicion	GKD-b_9_n25_m7	36,8165	147
AGE-posicion	GKD-b_10_n25_m7	45,7863	145
AGE-posicion	GKD-b_11_n50_m5	14,2967	150
AGE-posicion	GKD-b_12_n50_m5	13,7770	150
AGE-posicion	GKD-b_13_n50_m5	16,4239	150
AGE-posicion	GKD-b_14_n50_m5	19,8823	149
AGE-posicion	GKD-b_15_n50_m5	13,0223	151
AGE-posicion	GKD-b_16_n50_m15	113,8631	160
AGE-posicion	GKD-b_17_n50_m15	124,4545	168
AGE-posicion	GKD-b_18_n50_m15	106,3521	167
AGE-posicion	GKD-b_19_n50_m15	123,0067	165
AGE-posicion	GKD-b_20_n50_m15	103,7224	171
AGE-posicion	GKD-b_21_n100_m10	50,7838	168
AGE-posicion	GKD-b_22_n100_m10	46,5778	168
AGE-posicion	GKD-b_23_n100_m10	51,8051	171
AGE-posicion	GKD-b_24_n100_m10	46,0010	170
AGE-posicion	GKD-b_25_n100_m10	56,1641	167
AGE-posicion	GKD-b_26_n100_m30	419,1864	237
AGE-posicion	GKD-b_27_n100_m30	384,2872	229
AGE-posicion	GKD-b_28_n100_m30	324,2269	234
AGE-posicion	GKD-b_29_n100_m30	362,5634	231
AGE-posicion	GKD-b_30_n100_m30	334,4644	224
AGE-posicion	GKD-b_31_n125_m12	59,6527	179
AGE-posicion	GKD-b_32_n125_m12	56,4620	176
AGE-posicion	GKD-b_33_n125_m12	73,6683	178
AGE-posicion	GKD-b_34_n125_m12	63,8646	176
AGE-posicion	GKD-b_35_n125_m12	85,5248	178
AGE-posicion	GKD-b_36_n125_m37	407,3384	261
AGE-posicion	GKD-b_37_n125_m37	510,7254	262
AGE-posicion	GKD-b_38_n125_m37	525,1249	260
AGE-posicion	GKD-b_39_n125_m37	438,4328	255
AGE-posicion	GKD-b_40_n125_m37	512,7056	255
AGE-posicion	GKD-b_41_n150_m15	71,6310	191
AGE-posicion	GKD-b_42_n150_m15	105,8554	195
AGE-posicion	GKD-b_43_n150_m15	103,0088	192
AGE-posicion	GKD-b_44_n150_m15	71,1392	189
AGE-posicion	GKD-b_45_n150_m15	109,9619	188
AGE-posicion	GKD-b_46_n150_m45	712,4998	315
AGE-posicion	GKD-b_47_n150_m45	624,9550	319
AGE-posicion	GKD-b_48_n150_m45	560,6790	337
AGE-posicion	GKD-b_49_n150_m45	680,7801	357
AGE-posicion	GKD-b_50_n150_m45	763,2776	349
AM-(10,1.0)	GKD-b_1_n25_m2	0,0000	114
AM-(10,1.0)	GKD-b_2_n25_m2	0,0000	115
AM-(10,1.0)	GKD-b_3_n25_m2	0,0000	117
AM-(10,1.0)	GKD-b_4_n25_m2	0,0000	123
AM-(10,1.0)	GKD-b_5_n25_m2	0,0000	122
AM-(10,1.0)	GKD-b_6_n25_m7	14,9192	235
AM-(10,1.0)	GKD-b_7_n25_m7	31,3835	249
AM-(10,1.0)	GKD-b_8_n25_m7	16,7612	215
AM-(10,1.0)	GKD-b_9_n25_m7	17,0692	193
AM-(10,1.0)	GKD-b_10_n25_m7	25,6434	199
AM-(10,1.0)	GKD-b_11_n50_m5	6,0694	258
AM-(10,1.0)	GKD-b_12_n50_m5	5,9743	262
AM-(10,1.0)	GKD-b_13_n50_m5	4,1175	263
AM-(10,1.0)	GKD-b_14_n50_m5	5,2705	262
AM-(10,1.0)	GKD-b_15_n50_m5	4,7301	262
AM-(10,1.0)	GKD-b_16_n50_m15	47,7047	741
AM-(10,1.0)	GKD-b_17_n50_m15	48,1076	749
AM-(10,1.0)	GKD-b_18_n50_m15	53,7180	780
AM-(10,1.0)	GKD-b_19_n50_m15	47,4911	917
AM-(10,1.0)	GKD-b_20_n50_m15	53,4117	784
AM-(10,1.0)	GKD-b_21_n100_m10	19,9208	1179
AM-(10,1.0)	GKD-b_22_n100_m10	21,6122	1126
AM-(10,1.0)	GKD-b_23_n100_m10	22,1729	1187
AM-(10,1.0)	GKD-b_24_n100_m10	20,2204	1154
AM-(10,1.0)	GKD-b_25_n100_m10	21,9026	1122
AM-(10,1.0)	GKD-b_26_n100_m30	171,5152	4392
AM-(10,1.0)	GKD-b_27_n100_m30	133,3195	4963
AM-(10,1.0)	GKD-b_28_n100_m30	109,2678	4650
AM-(10,1.0)	GKD-b_29_n100_m30	157,2144	4590
AM-(10,1.0)	GKD-b_30_n100_m30	143,3858	4586
AM-(10,1.0)	GKD-b_31_n125_m12	19,5529	1662
AM-(10,1.0)	GKD-b_32_n125_m12	27,4976	1585
AM-(10,1.0)	GKD-b_33_n125_m12	26,3026	1570
AM-(10,1.0)	GKD-b_34_n125_m12	43,7010	1534
AM-(10,1.0)	GKD-b_35_n125_m12	23,2696	1690
AM-(10,1.0)	GKD-b_36_n125_m37	155,6203	8041
AM-(10,1.0)	GKD-b_37_n125_m37	235,2710	8667
AM-(10,1.0)	GKD-b_38_n125_m37	203,5191	8840
AM-(10,1.0)	GKD-b_39_n125_m37	190,4320	8354
AM-(10,1.0)	GKD-b_40_n125_m37	200,5839	8530
AM-(10,1.0)	GKD-b_41_n150_m15	35,9051	2681
AM-(10,1.0)	GKD-b_42_n150_m15	38,3480	2729
AM-(10,1.0)	GKD-b_43_n150_m15	34,2851	2650
AM-(10,1.0)	GKD-b_44_n150_m15	37,2010	2819
AM-(10,1.0)	GKD-b_45_n150_m15	36,6193	2883
AM-(10,1.0)	GKD-b_46_n150_m45	251,8967	14016
AM-(10,1.0)	GKD-b_47_n150_m45	244,7046	13907
AM-(10,1.0)	GKD-b_48_n150_m45	293,4059	14009
AM-(10,1.0)	GKD-b_49_n150_m45	249,1170	14184
AM-(10,1.0)	GKD-b_50_n150_m45	292,8266	14601
AM-(10,0.1)	GKD-b_1_n25_m2	0,0000	139
AM-(10,0.1)	GKD-b_2_n25_m2	0,0000	149
AM-(10,0.1)	GKD-b_3_n25_m2	0,0000	108
AM-(10,0.1)	GKD-b_4_n25_m2	0,0000	117
AM-(10,0.1)	GKD-b_5_n25_m2	0,0000	126
AM-(10,0.1)	GKD-b_6_n25_m7	14,4106	160
AM-(10,0.1)	GKD-b_7_n25_m7	18,9501	182
AM-(10,0.1)	GKD-b_8_n25_m7	20,7561	178
AM-(10,0.1)	GKD-b_9_n25_m7	24,7629	147
AM-(10,0.1)	GKD-b_10_n25_m7	27,3163	176
AM-(10,0.1)	GKD-b_11_n50_m5	8,1511	262
AM-(10,0.1)	GKD-b_12_n50_m5	9,5969	266
AM-(10,0.1)	GKD-b_13_n50_m5	9,1337	253
AM-(10,0.1)	GKD-b_14_n50_m5	8,8523	272
AM-(10,0.1)	GKD-b_15_n50_m5	8,3976	242
AM-(10,0.1)	GKD-b_16_n50_m15	59,4601	420
AM-(10,0.1)	GKD-b_17_n50_m15	51,3348	384
AM-(10,0.1)	GKD-b_18_n50_m15	62,5265	363
AM-(10,0.1)	GKD-b_19_n50_m15	75,2158	427
AM-(10,0.1)	GKD-b_20_n50_m15	66,9612	402
AM-(10,0.1)	GKD-b_21_n100_m10	24,2452	401
AM-(10,0.1)	GKD-b_22_n100_m10	29,1216	527
AM-(10,0.1)	GKD-b_23_n100_m10	30,9657	435
AM-(10,0.1)	GKD-b_24_n100_m10	66,7245	379
AM-(10,0.1)	GKD-b_25_n100_m10	26,1877	370
AM-(10,0.1)	GKD-b_26_n100_m30	194,0972	1279
AM-(10,0.1)	GKD-b_27_n100_m30	156,9420	1123
AM-(10,0.1)	GKD-b_28_n100_m30	128,7775	1197
AM-(10,0.1)	GKD-b_29_n100_m30	174,0606	1278
AM-(10,0.1)	GKD-b_30_n100_m30	155,0229	1388
AM-(10,0.1)	GKD-b_31_n125_m12	29,3763	620
AM-(10,0.1)	GKD-b_32_n125_m12	36,3711	593
AM-(10,0.1)	GKD-b_33_n125_m12	34,1888	580
AM-(10,0.1)	GKD-b_34_n125_m12	33,7995	566
AM-(10,0.1)	GKD-b_35_n125_m12	34,5576	468
AM-(10,0.1)	GKD-b_36_n125_m37	185,4742	2037
AM-(10,0.1)	GKD-b_37_n125_m37	256,3912	1965
AM-(10,0.1)	GKD-b_38_n125_m37	247,0149	1925
AM-(10,0.1)	GKD-b_39_n125_m37	233,2553	1868
AM-(10,0.1)	GKD-b_40_n125_m37	235,1866	1886
AM-(10,0.1)	GKD-b_41_n150_m15	45,2482	841
AM-(10,0.1)	GKD-b_42_n150_m15	47,0633	782
AM-(10,0.1)	GKD-b_43_n150_m15	105,8599	738
AM-(10,0.1)	GKD-b_44_n150_m15	41,2778	719
AM-(10,0.1)	GKD-b_45_n150_m15	44,1437	899
AM-(10,0.1)	GKD-b_46_n150_m45	318,0486	3018
AM-(10,0.1)	GKD-b_47_n150_m45	296,5717	3141
AM-(10,0.1)	GKD-b_48_n150_m45	279,0221	2897
AM-(10,0.1)	GKD-b_49_n150_m45	359,0251	3218
AM-(10,0.1)	GKD-b_50_n150_m45	297,0023	2959
AM-(10,0.1mej)	GKD-b_1_n25_m2	0,0000	138
AM-(10,0.1mej)	GKD-b_2_n25_m2	0,0000	134
AM-(10,0.1mej)	GKD-b_3_n25_m2	0,0000	129
AM-(10,0.1mej)	GKD-b_4_n25_m2	0,0000	155
AM-(10,0.1mej)	GKD-b_5_n25_m2	0,0000	129
AM-(10,0.1mej)	GKD-b_6_n25_m7	29,0115	150
AM-(10,0.1mej)	GKD-b_7_n25_m7	24,8449	152
AM-(10,0.1mej)	GKD-b_8_n25_m7	26,6958	201
AM-(10,0.1mej)	GKD-b_9_n25_m7	29,3887	147
AM-(10,0.1mej)	GKD-b_10_n25_m7	29,8733	170
AM-(10,0.1mej)	GKD-b_11_n50_m5	8,7169	191
AM-(10,0.1mej)	GKD-b_12_n50_m5	12,3753	202
AM-(10,0.1mej)	GKD-b_13_n50_m5	9,8434	218
AM-(10,0.1mej)	GKD-b_14_n50_m5	9,2589	213
AM-(10,0.1mej)	GKD-b_15_n50_m5	11,4527	212
AM-(10,0.1mej)	GKD-b_16_n50_m15	74,4695	289
AM-(10,0.1mej)	GKD-b_17_n50_m15	63,0808	279
AM-(10,0.1mej)	GKD-b_18_n50_m15	67,3849	272
AM-(10,0.1mej)	GKD-b_19_n50_m15	71,4904	271
AM-(10,0.1mej)	GKD-b_20_n50_m15	64,1570	271
AM-(10,0.1mej)	GKD-b_21_n100_m10	30,5970	352
AM-(10,0.1mej)	GKD-b_22_n100_m10	31,4990	396
AM-(10,0.1mej)	GKD-b_23_n100_m10	31,2434	439
AM-(10,0.1mej)	GKD-b_24_n100_m10	34,4096	434
AM-(10,0.1mej)	GKD-b_25_n100_m10	28,8812	443
AM-(10,0.1mej)	GKD-b_26_n100_m30	191,5406	1099
AM-(10,0.1mej)	GKD-b_27_n100_m30	151,0029	1126
AM-(10,0.1mej)	GKD-b_28_n100_m30	160,7049	1084
AM-(10,0.1mej)	GKD-b_29_n100_m30	199,7237	1082
AM-(10,0.1mej)	GKD-b_30_n100_m30	171,8949	1137
AM-(10,0.1mej)	GKD-b_31_n125_m12	25,7894	545
AM-(10,0.1mej)	GKD-b_32_n125_m12	36,3639	542
AM-(10,0.1mej)	GKD-b_33_n125_m12	38,1139	498
AM-(10,0.1mej)	GKD-b_34_n125_m12	39,0378	584
AM-(10,0.1mej)	GKD-b_35_n125_m12	42,1050	570
AM-(10,0.1mej)	GKD-b_36_n125_m37	215,5846	1773
AM-(10,0.1mej)	GKD-b_37_n125_m37	293,1948	1851
AM-(10,0.1mej)	GKD-b_38_n125_m37	253,5176	1675
AM-(10,0.1mej)	GKD-b_39_n125_m37	235,0561	1900
AM-(10,0.1mej)	GKD-b_40_n125_m37	274,9932	1954
AM-(10,0.1mej)	GKD-b_41_n150_m15	53,8563	896
AM-(10,0.1mej)	GKD-b_42_n150_m15	46,1216	809
AM-(10,0.1mej)	GKD-b_43_n150_m15	53,7335	671
AM-(10,0.1mej)	GKD-b_44_n150_m15	45,1584	734
AM-(10,0.1mej)	GKD-b_45_n150_m15	43,5394	813
AM-(10,0.1mej)	GKD-b_46_n150_m45	341,1050	2881
AM-(10,0.1mej)	GKD-b_47_n150_m45	298,7940	2732
AM-(10,0.1mej)	GKD-b_48_n150_m45	321,3360	2784
AM-(10,0.1mej)	GKD-b_49_n150_m45	344,1970	2913
AM-(10,0.1mej)	GKD-b_50_n150_m45	352,5474	3108
