Algorithm	File	Fitness	Time(ms)
BLrandom	GKD-b_1_n25_m2	0	0
BLrandom	GKD-b_2_n25_m2	0	0
BLrandom	GKD-b_3_n25_m2	0	0
BLrandom	GKD-b_4_n25_m2	0	0
BLrandom	GKD-b_5_n25_m2	0	0
BLrandom	GKD-b_6_n25_m7	37.0146	0
BLrandom	GKD-b_7_n25_m7	24.7337	0
BLrandom	GKD-b_8_n25_m7	30.2813	0
BLrandom	GKD-b_9_n25_m7	40.0026	0
BLrandom	GKD-b_10_n25_m7	38.5346	0
BLrandom	GKD-b_11_n50_m5	12.2711	0
BLrandom	GKD-b_12_n50_m5	9.717	0
BLrandom	GKD-b_13_n50_m5	13.2341	0
BLrandom	GKD-b_14_n50_m5	15.0322	0
BLrandom	GKD-b_15_n50_m5	14.316	0
BLrandom	GKD-b_16_n50_m15	113.925	7
BLrandom	GKD-b_17_n50_m15	105.111	6
BLrandom	GKD-b_18_n50_m15	89.8602	5
BLrandom	GKD-b_19_n50_m15	115.403	3
BLrandom	GKD-b_20_n50_m15	110.605	4
BLrandom	GKD-b_21_n100_m10	40.6468	5
BLrandom	GKD-b_22_n100_m10	42.0724	4
BLrandom	GKD-b_23_n100_m10	44.4687	3
BLrandom	GKD-b_24_n100_m10	35.0649	5
BLrandom	GKD-b_25_n100_m10	43.3127	3
BLrandom	GKD-b_26_n100_m30	317.089	54
BLrandom	GKD-b_27_n100_m30	305.905	46
BLrandom	GKD-b_28_n100_m30	408.791	40
BLrandom	GKD-b_29_n100_m30	323.029	43
BLrandom	GKD-b_30_n100_m30	330.276	50
BLrandom	GKD-b_31_n125_m12	43.7281	16
BLrandom	GKD-b_32_n125_m12	51.8876	6
BLrandom	GKD-b_33_n125_m12	65.4951	8
BLrandom	GKD-b_34_n125_m12	44.0719	7
BLrandom	GKD-b_35_n125_m12	46.9885	9
BLrandom	GKD-b_36_n125_m37	339.103	106
BLrandom	GKD-b_37_n125_m37	419.811	86
BLrandom	GKD-b_38_n125_m37	413.318	79
BLrandom	GKD-b_39_n125_m37	296.307	91
BLrandom	GKD-b_40_n125_m37	459.445	60
BLrandom	GKD-b_41_n150_m15	67.5163	15
BLrandom	GKD-b_42_n150_m15	95.2359	16
BLrandom	GKD-b_43_n150_m15	86.9114	19
BLrandom	GKD-b_44_n150_m15	68.2837	20
BLrandom	GKD-b_45_n150_m15	66.515	20
BLrandom	GKD-b_46_n150_m45	503.153	142
BLrandom	GKD-b_47_n150_m45	500.749	156
BLrandom	GKD-b_48_n150_m45	463.452	207
BLrandom	GKD-b_49_n150_m45	569.306	160
BLrandom	GKD-b_50_n150_m45	481.787	245
